app_data_source,loc_region,return_to_yp,score_total,dem_gender,dem_age,edu_qual_highest,edu_qual_highest_year,emp_yes,emp_org_type,emp_duration,emp_currently,exp_w_child,exp_length_teacher,exp_length_school,exp_length_employee,exp_length_volunteer,interest_w_child,prac_scenario_volunt,prac_scenario_noshow,yi_hired
T1 2020,Kgatleng,No,26.5,Female,28,Bachelors Degree,2013,Yes,Education,15.6,No,Yes,24,12,24,5,4,1,Planning together with fellow facilitators,0
T1 2020,Chobe,No,25.5,Female,35,Bachelors Degree,2017,Yes,Education,39.6,No,Yes,39.6,36,39.6,12,4,1,Planning together with fellow facilitators,0
T1 2020,Central,No,24.5,Female,25,Bachelors Degree,2017,Yes,Education,19.200000000000003,No,Yes,19.200000000000003,9,19.200000000000003,24,4,1,Planning together with fellow facilitators,0
T1 2020,South East,Yes,23.5,Female,29,Bachelors Degree,2013,Yes,Education,57.6,No,Yes,40.8,29,60,24,4,1,Planning together with fellow facilitators,1
T1 2020,North West,No,23.5,Female,32,Bachelors Degree,2011,Yes,Education,87.6,No,Yes,60,60,72,24,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,23.5,Female,38,Diploma,2017,Yes,Education,110.4,No,Yes,12,53,117.6,36,1,1,Planning together with fellow facilitators,0
T1 2020,South East,No,22.5,Female,24,Bachelors Degree,2017,Yes,Education,14.4,No,Yes,15.6,16.799999999999997,15.6,16.799999999999997,4,1,Plan individually,1
T1 2020,Kweneng,Yes,22.5,Female,23,Secondary School,2014,Yes,Education,13.2,No,Yes,13.2,13.2,13.2,13.2,1,1,Planning together with fellow facilitators,0
T1 2020,North East,No,22,Female,29,Bachelors Degree,2016,Yes,Education,18,Yes,Yes,2,18,12,18,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,22,Female,28,Bachelors Degree,2017,Yes,Hotel or food services,12,No,Yes,12,11,12,18,1,1,Planning together with fellow facilitators,0
T1 2020,Kgatleng,No,21.5,Female,25,Secondary School,2010,Yes,Education,21.6,No,Yes,72,12,36,13.2,1,1,Planning together with fellow facilitators,1
T1 2020,North East,No,21.5,Female,29,Bachelors Degree,2013,Yes,Education,12,No,Yes,30,3,30,12,4,1,Planning together with fellow facilitators,0
T1 2020,South East,Yes,21.5,Female,27,Bachelors Degree,2016,Yes,"Health care, social assistance, nonprofit",19.200000000000003,Yes,Yes,30,4,20.4,12,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,21.5,Female,33,Bachelors Degree,2011,Yes,Education,49.2,No,Yes,2,1,21.6,12,4,1,Planning together with fellow facilitators,1
T1 2020,North West,Yes,21.5,Female,27,Diploma,2013,Yes,Education,34.8,No,Yes,38.400000000000006,38.400000000000006,36,9,1,1,Planning together with fellow facilitators,0
T1 2020,North West,No,21.5,Female,35,Masters Degree,2019,Yes,Education,51.6,No,Yes,52.8,12,18,6,1,1,Planning together with fellow facilitators,0
T1 2020,Southern,No,21.5,Male,32,Diploma,2010,Yes,Education,34.8,No,Yes,66,20.4,39.6,2,4,1,Planning together with fellow facilitators,0
T1 2020,North East,No,21.5,Female,29,Bachelors Degree,2017,Yes,Other,27.6,No,Yes,33.599999999999994,7,27.6,6,4,1,Planning together with fellow facilitators,0
